snapshot_ts,stop_id,route_id,route_short_name,trip_id,vehicle_id,scheduled_arrival_ts,predicted_arrival_ts,status
1773619087,1_26560,1_102574,40,1_686398559,1_8124,1773619109,1773619084,default
1773619087,1_80692,1_100045,150,1_694483309,1_8187,1773618723,1773619160,default
1773619087,1_2850,1_100089,2,1_540520099,1_8002452,1773619860,1773619860,default
1773619087,1_46505,1_102619,F Line,1_635483969,1_8003968,1773619140,1773619140,default
1773619087,1_46505,1_102619,F Line,1_635485059,1_8003979,1773620040,1773620040,default
1773619087,1_52306,1_102619,F Line,1_635484299,1_8003969,1773619500,1773619500,default
1773619087,1_52306,1_102719,161,1_693819449,1_8004077,1773620400,1773620400,default
1773619087,1_8530,1_100263,7,1_650212339,1_8209,1773618913,1773619204,default
1773619087,1_57804,1_100072,181,1_721611729,1_7404,1773619282,1773619133,default
1773619087,1_59282,1_100072,181,1_721611669,1_7391,1773619680,1773618970,default
1773619087,1_59282,1_100072,181,1_721611669,1_8003996,1773619680,1773619680,default
1773619087,1_59872,1_102619,F Line,1_635485599,1_6010,1773618772,1773619306,default
1773619087,1_60640,1_102757,187,1_762147329,1_7444,1773619219,1773619244,default
1773619087,1_620,40_100239,550,40_630434089,40_9654,1773619260,1773619224,default
1773619087,1_10912,40_100511,542,40_569542619,40_8004680,1773619380,1773619380,default
1773619087,1_10912,1_100162,271,1_581655949,1_8004486,1773620400,1773620400,default
1773619087,1_10912,40_100511,542,40_569541189,40_8004679,1773621120,1773621120,default
1773619087,1_10640,1_100252,62,1_759774439,1_8037,1773619620,1773618419,default
1773619087,1_10640,1_100252,62,1_759774449,1_8002758,1773620520,1773620520,default
1773619387,1_103,1_102745,G Line,1_736363829,1_6402,1773619486,1773619476,default
1773619387,1_2850,1_100089,2,1_540520099,1_7106,1773619860,1773619156,default
1773619387,1_2850,1_100089,2,1_540520099,1_8002452,1773619860,1773619860,default
1773619387,1_46505,1_102619,F Line,1_635485059,1_6242,1773620040,1773619246,default
1773619387,1_46505,1_102619,F Line,1_635485059,1_8003979,1773620040,1773620040,default
1773619387,1_77460,1_102746,333,1_778673299,1_7210,1773619557,1773619483,default
1773619387,1_81199,1_100072,181,1_721611729,1_7404,1773619545,1773619416,default
1773619387,1_5489,1_100196,331,1_778668189,1_7226,1773619669,1773619456,default
1773619387,1_52306,1_102619,F Line,1_635484299,1_8003969,1773619500,1773619500,default
1773619387,1_52306,1_102719,161,1_693819449,1_8004077,1773620400,1773620400,default
1773619387,1_8530,1_100005,106,1_762173799,1_7314,1773619517,1773619428,default
1773619387,1_8530,1_100263,7,1_650212349,1_8245,1773619633,1773619471,default
1773619387,1_45670,1_100210,36,1_732725659,1_8003114,1773619284,1773619499,default
1773619387,1_54201,1_102619,F Line,1_635486079,1_6286,1773619419,1773619527,default
1773619387,1_2200,1_100275,8,1_693984349,1_8055,1773619353,1773619537,default
1773619387,1_59282,1_100072,181,1_721611669,1_7391,1773619680,1773618970,default
1773619387,1_59282,1_102717,165,1_664525229,1_8003978,1773621960,1773621960,default
1773619387,1_25791,1_100214,372,1_548656719,1_7486,1773619620,1773619630,default
1773619387,1_10912,1_100162,271,1_581655949,1_8004486,1773620400,1773620400,default
1773619387,1_10912,40_100511,542,40_569541189,40_8004679,1773621120,1773621120,default
1773619387,1_71960,40_100511,542,40_597736869,40_8004690,1773620160,1773620160,default
1773619387,1_10640,1_100252,62,1_759774439,1_8037,1773619620,1773618419,default
1773619387,1_10640,1_100252,62,1_759774449,1_8002758,1773620520,1773620520,default
1773619687,1_77930,1_102746,333,1_778673929,1_7200,1773619637,1773619743,default
1773619687,1_81205,1_100072,181,1_721611729,1_7404,1773619760,1773619703,default
1773619687,1_2850,1_100089,2,1_540520099,1_7106,1773619860,1773619156,default
1773619687,1_46505,1_102619,F Line,1_635485059,1_6242,1773620040,1773619246,default
1773619687,1_27420,1_100249,60,1_694001209,1_7025,1773619536,1773619842,default
1773619687,1_1510,1_100263,7,1_650212349,1_8245,1773619854,1773619642,default
1773619687,3_31002,40_560,560,40_2145010,40_9203,1773619774,1773619785,default
1773619687,1_52306,1_102719,161,1_693819449,1_8004077,1773620400,1773620400,default
1773619687,1_52306,1_102619,F Line,1_635485309,1_8003972,1773620400,1773620400,default
1773619687,1_99254,40_594,594,40_617010,40_9720,1773619516,1773619778,default
1773619687,1_65092,1_100162,271,1_720948679,1_8004476,1773620880,1773620880,default
1773619687,1_40065,1_102574,40,1_778671199,1_8125,1773619841,1773619825,default
1773619687,1_59282,1_102717,165,1_664525229,1_7397,1773621960,1773619538,default
1773619687,1_59282,1_102717,165,1_664525229,1_8003978,1773621960,1773621960,default
1773619687,1_620,40_100236,545,40_347631439,40_8004685,1773619920,1773619969,default
1773619687,1_620,40_100240,554,40_774846509,40_9688,1773619380,1773620075,default
1773619687,1_10912,1_100162,271,1_581655949,1_8004486,1773620400,1773620400,default
1773619687,1_10912,40_100511,542,40_569541189,40_8004679,1773621120,1773621120,default
1773619687,1_71960,40_100511,542,40_597736869,40_8004690,1773620160,1773620160,default
1773619687,1_10640,1_100252,62,1_759774449,1_8002758,1773620520,1773620520,default
1773619988,1_970,40_594,594,40_3169010,40_9739,1773620310,1773620005,default
1773619988,1_46505,1_102619,F Line,1_635485059,1_6242,1773620040,1773619246,default
1773619988,1_280,40_594,594,40_3169010,40_9739,1773620378,1773620073,default
1773619988,1_52306,1_102719,161,1_693819449,1_8004077,1773620400,1773620400,default
1773619988,1_52306,1_102619,F Line,1_635485309,1_8003972,1773620400,1773620400,default
1773619988,1_65092,1_100162,271,1_720948679,1_8004476,1773620880,1773620880,default
1773619988,1_70010,1_102701,225,1_694327379,1_7326,1773620150,1773620059,default
1773619988,1_22184,1_100024,125,1_690042429,1_7059,1773620143,1773620073,default
1773619988,1_59282,1_102717,165,1_664525229,1_7397,1773621960,1773619538,default
1773619988,1_10210,1_100264,70,1_664213459,1_8217,1773620279,1773620115,default
1773619988,1_620,40_594,594,40_617010,40_9720,1773619860,1773620258,default
1773619988,1_620,40_100239,550,40_561778009,40_9576,1773620160,1773620694,default
1773619988,1_10912,1_100228,48,1_770757719,1_8001,1773620040,1773620169,default
1773619988,1_10912,1_100162,271,1_581655949,1_8004486,1773620400,1773620400,default
1773619988,1_10912,40_100511,542,40_569541189,40_8004679,1773621120,1773621120,default
1773619988,1_10912,1_100162,271,1_581656219,1_8004478,1773622200,1773622200,default
1773619988,1_10640,1_100252,62,1_759774459,1_8069,1773621420,1773619865,default
1773619988,1_10640,1_100252,62,1_759774449,1_8002758,1773620520,1773620520,default
1773620287,1_51551,1_102736,H Line,1_636333319,1_6047,1773619937,1773620362,default
1773620287,1_26560,1_102574,40,1_686398799,1_8193,1773620009,1773620426,default
1773620287,1_575,1_100263,7,1_650212349,1_8003083,1773620340,1773619970,default
1773620287,1_575,1_100264,70,1_664213289,1_8239,1773620040,1773620330,default
1773620287,1_575,1_102581,D Line,1_585649669,1_8003151,1773620340,1773620340,default
1773620287,1_575,1_100219,4,1_761094639,1_7030,1773620220,1773620361,default
1773620287,1_35334,1_102747,61,1_737227359,1_3746,1773620460,1773620339,default
1773620287,1_46505,1_102619,F Line,1_635485609,1_8003973,1773620940,1773620940,default
1773620287,1_52306,40_560,560,40_2145010,40_9203,1773620400,1773620357,default
1773620287,1_52306,1_102719,161,1_693819449,1_8004077,1773620400,1773620400,default
1773620287,1_52306,1_102619,F Line,1_635485309,1_8003972,1773620400,1773620400,default
1773620287,1_80121,1_102719,161,1_693819759,1_7328,1773620145,1773620449,default
1773620287,1_21945,1_102717,165,1_635477199,1_7451,1773620040,1773620411,default
1773620287,1_8530,1_100005,106,1_762173809,1_7135,1773620417,1773620405,default
1773620287,1_65092,1_100162,271,1_720948679,1_8004476,1773620880,1773620880,default
1773620287,1_11060,1_100249,60,1_770766549,1_7026,1773620317,1773620424,default
1773620287,1_59282,1_102717,165,1_664525229,1_7397,1773621960,1773619538,default
1773620287,1_25791,1_100214,372,1_537767229,1_7483,1773620520,1773620502,default
1773620287,1_620,40_594,594,40_617010,40_9720,1773619860,1773620537,default
1773620287,1_620,40_100239,550,40_561778009,40_9576,1773620160,1773620628,default
1773620287,1_10912,1_100447,49,1_650208069,1_8002447,1773620370,1773620497,default
1773620287,1_10912,40_100511,542,40_569541189,40_8004679,1773621120,1773621120,default
1773620287,1_10912,1_100162,271,1_581656219,1_8004478,1773622200,1773622200,default
1773620287,1_10912,40_100511,542,40_569541789,40_8004689,1773622980,1773622980,default
1773620287,1_81982,1_100196,331,1_778667889,1_7238,1773620139,1773620493,default
1773620287,1_10640,1_100252,62,1_759774459,1_8069,1773621420,1773619865,default
1773620287,1_10640,1_100252,62,1_759774449,1_8002758,1773620520,1773620520,default
1773620587,1_22196,1_102736,H Line,1_636332589,1_6108,1773620526,1773620628,default
1773620587,1_46505,1_102619,F Line,1_635485609,1_8003973,1773620940,1773620940,default
1773620587,1_280,40_100240,554,40_561776559,40_9814,1773620573,1773620637,default
1773620587,1_11200,1_100447,49,1_650207439,1_7033,1773620520,1773620659,default
1773620587,1_73366,1_102548,B Line,1_705345349,1_6023,1773620530,1773620690,default
1773620587,1_52306,1_102619,F Line,1_694489579,1_8003971,1773621300,1773621300,default
1773620587,1_41128,1_100026,128,1_694499749,1_7410,1773620823,1773620643,default
1773620587,1_99254,1_100003,101,1_694483439,1_8189,1773620602,1773620719,default
1773620587,1_65092,1_100162,271,1_720948679,1_8004476,1773620880,1773620880,default
1773620587,1_57804,1_100072,181,1_721611659,1_7164,1773621082,1773621044,default
1773620587,1_59282,1_102717,165,1_664525229,1_7397,1773621960,1773619538,default
1773620587,1_59282,1_100072,181,1_721611739,1_7404,1773621480,1773620486,default
1773620587,1_2260,1_100275,8,1_721327579,1_8021,1773620789,1773620752,default
