stop_id,route_id,route_short_name,delay_min,hour_of_day,day_of_week,is_weekend,is_peak_hour,status,temperature_c,precipitation_mm,wind_speed_kmh,weather_code,is_raining,weather_category
1_10210,1_100264,70,-1.5,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_71960,40_100511,542,-8.72,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_76310,40_100232,522,0.87,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_9030,1_100263,7,-3.47,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_102576,C Line,-3.37,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_280,40_100240,554,6.22,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_22184,1_100024,125,-3.1,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_620,40_100236,545,-0.07,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100264,70,0.05,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10640,1_100252,62,-10.8,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10640,1_100252,62,-1.72,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_12170,1_100039,14,1.7,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_60161,1_100042,148,-24.78,20.0,0.0,0,0,default,7.0,0.0,5.8,3,0,dry
1_46505,1_102619,F Line,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_49350,1_100026,128,-1.22,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_75850,1_102615,E Line,-1.52,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_42540,1_100072,181,-4.03,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_25791,1_100214,372,9.38,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100447,49,0.6,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_9605,1_100259,67,5.42,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_12770,1_100228,48,0.13,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_320,40_100239,550,0.5,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_79610,1_100006,107,-0.73,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_68593,1_100136,245,-1.38,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_2200,1_100275,8,-14.12,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_74714,1_102702,239,-0.78,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_81749,40_100240,554,9.23,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_10912,1_100264,70,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_1190,1_100009,11,5.07,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_30510,1_100230,50,4.65,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_7790,1_102615,E Line,-1.27,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_100210,36,-0.58,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_102576,C Line,2.92,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_29423,1_102732,79,0.0,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_48390,1_100030,131,4.73,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_57804,1_100072,181,-1.65,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_59282,1_100072,181,-17.93,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_620,40_100236,545,2.88,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_16990,1_102574,40,-1.88,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_8403,1_100039,14,0.65,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_27420,1_100249,60,-0.65,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_65092,1_100162,271,-4.13,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_7750,1_102615,E Line,-2.05,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_85800,1_100196,331,6.52,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_102615,E Line,7.5,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_575,1_100263,7,0.58,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_31680,1_100249,60,-1.57,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_59282,1_102717,165,-23.08,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
1_58112,1_102619,F Line,-0.18,19.0,0.0,0,1,default,7.6,0.0,6.0,3,0,dry
