stop_id,stop_name,lat,lon,direction
1_575,3rd Ave & Pike St,47.609642,-122.337585,NW
1_60148,SE 176th St & 151st Ave SE,47.445015,-122.140564,W
1_13830,15th Ave W & W Wheeler St,47.640183,-122.376312,S
1_2850,Madrona Park & Lake Washington Blvd,47.61219,-122.2817,NW
1_77910,15th Ave NE & NE 180th St,47.759666,-122.313339,N
1_31620,East Marginal Way S & S Norfolk St,47.5131,-122.294243,NW
1_35334,NE Northgate Way & 19th Ave NE,47.70842,-122.307823,E
1_61467,9th Ave S & S 348th St,47.29052,-122.322861,N
1_15040,SW Admiral Way & 47th Ave SW,47.581158,-122.391571,E
1_8080,Rainier Ave S & S Fisher Pl,47.521328,-122.269897,N
1_18000,32nd Ave NW & NW 75th St,47.68288,-122.398514,S
1_58570,Griffin Ave & Florence St,47.206646,-122.003166,W
1_46505,N 10th St & Park Ave N,47.498085,-122.201218,W
1_74347,124th Ave NE & NE 100th St,47.68996,-122.175629,N
1_29423,Brooklyn Ave NE & NE Pacific St,47.653351,-122.314392,N
1_48620,1st Ave S & SW 178th St,47.443611,-122.334267,S
1_40802,East Marginal Way S & S Hudson St,47.55769,-122.339066,N
1_70587,7th Ave & 6th St,47.680641,-122.196625,W
1_74980,3rd Ave NW & NW 195th St,47.770092,-122.361305,S
1_40060,Holman Rd N & Greenwood Ave N,47.704659,-122.356094,NE
1_89990,N 200th St & Burke Ave N,47.774101,-122.336906,E
1_79871,SE 37th St & 150th Ave SE,47.577496,-122.136765,N
1_47660,SW 150th St & 6th Ave SW,47.468556,-122.341354,E
1_280,2nd Ave & Stewart St,47.610615,-122.340248,SE
1_46660,Union Ave NE & NE 10th St,47.499245,-122.164635,S
1_50290,8th Ave S & S 194th St,47.428917,-122.32502,S
1_31680,S Cloverdale St & 12th Ave S,47.52652,-122.318123,W
1_59441,SE Petrovitsky Rd & 122nd Pl SE,47.445351,-122.177666,E
1_50761,W Meeker St & 64th Ave S,47.381241,-122.258003,W
1_36711,S Alaska St & Martin Luther King Jr Way S,47.560734,-122.292221,E
1_36800,23rd Ave & E Cherry St,47.608314,-122.302673,N
1_57447,SE 240th St & 120th Ave SE,47.386982,-122.182312,W
1_1190,Pike St & 6th Ave,47.611034,-122.334526,E
